ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,,,,,,,,,StartDate,EndDate,Status
10,CN-6137,,,,Chainring Nut,,,,FALSE,Silver,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
514,RB-9231,6,G  ,,Rear Brakes,Frenos traseros,Freins arrière,47.286,TRUE,Silver,500,375,106.5,,NA,317,1,,63.9,,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
511,FR-M63S-40,12,LB ,CM ,ML Mountain Frame-W - Silver 40,,,199.3757,TRUE,Silver,500,375,364.09,40,38-40 CM,2.77,1,M ,218.454,M ,W ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
594,BK-M18S-48,1,LB ,CM ,Mountain-500 Silver 48,Montaña: 500 plateada 48,VTT 500 argent 48,308.2179,TRUE,Silver,100,75,564.99,48,48-52 CM,28.42,4,M ,338.994,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
554,HB-T928,4,,,HL Touring Handlebars,Manillar de paseo GA,Poignées de vélo de randonnée HL,40.6571,TRUE,NA,500,375,91.57,,NA,,1,T ,54.942,H ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
507,FR-T67Y-50,16,LB ,CM ,LL Touring Frame - Yellow 50,Cuadro de paseo GB: amarillo 50,Cadre de vélo de randonnée LL - jaune 50,199.8519,TRUE,Yellow,500,375,333.42,50,48-52 CM,3.1,1,T ,200.052,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
512,FR-M63S-42,12,LB ,CM ,ML Mountain Frame-W - Silver 42,,,199.3757,TRUE,Silver,500,375,364.09,42,42-46 CM,2.81,1,M ,218.454,M ,W ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
500,FR-T98U-60,16,LB ,CM ,HL Touring Frame - Blue 60,Cuadro de paseo GA: azul 60,Cadre de vélo de randonnée HL - bleu 60,601.7437,TRUE,Blue,500,375,1003.91,60,60-62 CM,3.08,1,T ,602.346,H ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
506,FR-T67Y-44,16,LB ,CM ,LL Touring Frame - Yellow 44,Cuadro de paseo GB: amarillo 44,Cadre de vélo de randonnée LL - jaune 44,199.8519,TRUE,Yellow,500,375,333.42,44,42-46 CM,3.02,1,T ,200.052,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
526,FR-M21S-48,12,LB ,CM ,LL Mountain Frame - Silver 48,,,144.5938,TRUE,Silver,500,375,264.05,48,48-52 CM,3,1,M ,158.43,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
571,BK-T18Y-58,3,LB ,CM ,Touring-3000 Yellow 58,Paseo: 3000 amarilla 58,Vélo de randonnée 3000 jaune 58,461.4448,TRUE,Yellow,100,75,742.35,58,54-58 CM,29.79,4,T ,445.41,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
510,FR-T67U-44,16,LB ,CM ,LL Touring Frame - Blue 44,Cuadro de paseo GB: azul 44,Cadre de vélo de randonnée LL - bleu 44,199.8519,TRUE,Blue,500,375,333.42,44,42-46 CM,3.02,1,T ,200.052,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
544,PD-M562,13,G  ,,HL Mountain Pedal,Pedal de montaña GA,Pédale de VTT HL,35.9596,TRUE,Silver/Black,500,375,80.99,,NA,185,1,M ,48.594,H ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
34,GP-0982,,,,Guide Pulley,,,,FALSE,NA,800,600,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
559,CH-0234,7,,,Chain,Cadena,Chaîne,8.9866,TRUE,Silver,500,375,20.24,,NA,,1,,12.144,,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
531,FR-M21B-42,12,LB ,CM ,LL Mountain Frame - Black 42,,,136.785,TRUE,Black,500,375,249.79,42,42-46 CM,2.92,1,M ,149.874,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
604,BK-R19B-44,2,LB ,CM ,Road-750 Black 44,Carretera: 750 negra 44,Vélo de route 750 noir 44,343.6496,TRUE,Black,100,75,539.99,44,42-46 CM,19.77,4,R ,323.994,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
534,FR-M21B-52,12,LB ,CM ,LL Mountain Frame - Black 52,,,136.785,TRUE,Black,500,375,249.79,52,48-52 CM,3.04,1,M ,149.874,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
505,FR-T67U-62,16,LB ,CM ,LL Touring Frame - Blue 62,Cuadro de paseo GB: azul 62,Cadre de vélo de randonnée LL - bleu 62,199.8519,TRUE,Blue,500,375,333.42,62,60-62 CM,3.2,1,T ,200.052,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
513,FR-M63S-46,12,LB ,CM ,ML Mountain Frame-W - Silver 46,,,199.3757,TRUE,Silver,500,375,364.09,46,42-46 CM,2.85,1,M ,218.454,M ,W ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
590,BK-M38S-46,1,LB ,CM ,Mountain-400-W Silver 46,Montaña: 400 para mujer plateada 46,VTT 400 -W argent 46,419.7784,TRUE,Silver,100,75,769.49,46,42-46 CM,27.42,4,M ,461.694,M ,W ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
509,FR-T67Y-58,16,LB ,CM ,LL Touring Frame - Yellow 58,Cuadro de paseo GB: amarillo 58,Cadre de vélo de randonnée LL - jaune 58,199.8519,TRUE,Yellow,500,375,333.42,58,54-58 CM,3.16,1,T ,200.052,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
52,HJ-9080,,,,Thin-Jam Hex Nut 12,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
588,BK-M38S-40,1,LB ,CM ,Mountain-400-W Silver 40,Montaña: 400 para mujer plateada 40,VTT 400 -W argent 40,419.7784,TRUE,Silver,100,75,769.49,40,38-40 CM,26.77,4,M ,461.694,M ,W ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
602,BB-8107,5,G  ,,ML Bottom Bracket,Eje de pedalier GM,Axe de pédalier ML,44.9506,TRUE,NA,500,375,101.24,,NA,168,1,,60.744,M ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
82,LE-1000,,,,External Lock Washer 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
78,HT-8019,,,,Head Tube,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
570,BK-T18Y-54,3,LB ,CM ,Touring-3000 Yellow 54,Paseo: 3000 amarilla 54,Vélo de randonnée 3000 jaune 54,461.4448,TRUE,Yellow,100,75,742.35,54,54-58 CM,29.42,4,T ,445.41,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
562,BK-T79Y-50,3,LB ,CM ,Touring-1000 Yellow 50,Paseo: 1000 amarilla 50,Vélo de randonnée 1000 jaune 50,1481.9379,TRUE,Yellow,100,75,2384.07,50,48-52 CM,25.42,4,T ,1430.442,H ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
19,EC-T209,,,,Touring End Caps,,,,FALSE,NA,1000,750,,,NA,,1,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
499,FR-T98U-54,16,LB ,CM ,HL Touring Frame - Blue 54,Cuadro de paseo GA: azul 54,Cadre de vélo de randonnée HL - bleu 54,601.7437,TRUE,Blue,500,375,1003.91,54,54-58 CM,3.04,1,T ,602.346,H ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
504,FR-T67U-58,16,LB ,CM ,LL Touring Frame - Blue 58,Cuadro de paseo GB: azul 58,Cadre de vélo de randonnée LL - bleu 58,199.8519,TRUE,Blue,500,375,333.42,58,54-58 CM,3.16,1,T ,200.052,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
502,FR-T67U-50,16,LB ,CM ,LL Touring Frame - Blue 50,Cuadro de paseo GB: azul 50,Cadre de vélo de randonnée LL - bleu 50,199.8519,TRUE,Blue,500,375,333.42,50,48-52 CM,3.1,1,T ,200.052,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
21,FH-2981,,,,Freewheel,,,,FALSE,Silver,500,375,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
532,FR-M21B-44,12,LB ,CM ,LL Mountain Frame - Black 44,,,136.785,TRUE,Black,500,375,249.79,44,42-46 CM,2.96,1,M ,149.874,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
140,LR-2398,,,,Lock Ring,,,,FALSE,Silver,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
578,BK-T44U-50,3,LB ,CM ,Touring-2000 Blue 50,Paseo: 2000 azul 50,Vélo de randonnée 2000 bleu 50,755.1508,TRUE,Blue,100,75,1214.85,50,48-52 CM,27.42,4,T ,728.91,M ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
503,FR-T67U-54,16,LB ,CM ,LL Touring Frame - Blue 54,Cuadro de paseo GB: azul 54,Cadre de vélo de randonnée LL - bleu 54,199.8519,TRUE,Blue,500,375,333.42,54,54-58 CM,3.14,1,T ,200.052,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
553,HB-T721,4,,,LL Touring Handlebars,Manillar de paseo GB,Poignées de vélo de randonnée LL,20.464,TRUE,NA,500,375,46.09,,NA,,1,T ,27.654,L ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
552,FD-2342,9,G  ,,Front Derailleur,Desviador delantero,Dérailleur avant,40.6216,TRUE,Silver,500,375,91.49,,NA,88,1,,54.894,,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
508,FR-T67Y-54,16,LB ,CM ,LL Touring Frame - Yellow 54,Cuadro de paseo GB: amarillo 54,Cadre de vélo de randonnée LL - jaune 54,199.8519,TRUE,Yellow,500,375,333.42,54,54-58 CM,3.14,1,T ,200.052,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
585,BK-T18U-44,3,LB ,CM ,Touring-3000 Blue 44,Paseo: 3000 azul 44,Vélo de randonnée 3000 bleu 44,461.4448,TRUE,Blue,100,75,742.35,44,42-46 CM,28.77,4,T ,445.41,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
542,PD-M282,13,G  ,,LL Mountain Pedal,Pedal de montaña GB,Pédale de VTT LL,17.9776,TRUE,Silver/Black,500,375,40.49,,NA,218,1,M ,24.294,L ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
8,CA-7457,,,,HL Crankarm,,,,FALSE,Black,500,375,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
37,GT-2908,,,,HL Grip Tape,,,,FALSE,NA,800,600,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
528,TT-M928,37,,,Mountain Tire Tube,Cubierta para cámara de montaña,Chambre à air de VTT,1.8663,TRUE,NA,500,375,4.99,,NA,,0,M ,2.994,,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
3,BE-2349,,,,BB Ball Bearing,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
600,BK-M18B-52,1,LB ,CM ,Mountain-500 Black 52,Montaña: 500 negra 52,VTT 500 noir 52,294.5797,TRUE,Black,100,75,539.99,52,48-52 CM,28.68,4,M ,323.994,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
527,FR-M21S-52,12,LB ,CM ,LL Mountain Frame - Silver 52,,,144.5938,TRUE,Silver,500,375,264.05,52,48-52 CM,3.04,1,M ,158.43,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
538,TI-R092,37,,,LL Road Tire,Cubierta de carretera GB,Pneu de vélo de route LL,8.0373,TRUE,NA,500,375,21.49,,NA,,0,R ,12.894,L ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
536,TI-M602,37,,,ML Mountain Tire,Cubierta de montaña GM,Pneu de VTT ML,11.2163,TRUE,NA,500,375,29.99,,NA,,0,M ,17.994,M ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
533,FR-M21B-48,12,LB ,CM ,LL Mountain Frame - Black 48,,,136.785,TRUE,Black,500,375,249.79,48,48-52 CM,3,1,M ,149.874,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
541,TI-T723,37,,,Touring Tire,Cubierta de paseo,Pneu de vélo de randonnée,10.8423,TRUE,NA,500,375,28.99,,NA,,0,T ,17.394,,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
540,TI-R982,37,,,HL Road Tire,Cubierta de carretera GA,Pneu de vélo de route HL,12.1924,TRUE,NA,500,375,32.6,,NA,,0,R ,19.56,H ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
66,HN-5161,,,,Hex Nut 10,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
169,NI-4127,,,,LL Nipple,,,,FALSE,NA,1000,750,,,NA,,0,,,L ,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
539,TI-R628,37,,,ML Road Tire,Cubierta de carretera GM,Pneu de vélo de route ML,9.3463,TRUE,NA,500,375,24.99,,NA,,0,R ,14.994,M ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
545,PD-R347,13,G  ,,LL Road Pedal,Pedal de carretera GB,Pédale de vélo de route LL,17.9776,TRUE,Silver/Black,500,375,40.49,,NA,189,1,R ,24.294,L ,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
524,FR-M21S-42,12,LB ,CM ,LL Mountain Frame - Silver 42,,,144.5938,TRUE,Silver,500,375,264.05,42,42-46 CM,2.92,1,M ,158.43,L ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
498,FR-T98U-50,16,LB ,CM ,HL Touring Frame - Blue 50,Cuadro de paseo GA: azul 50,Cadre de vélo de randonnée HL - bleu 50,601.7437,TRUE,Blue,500,375,1003.91,50,48-52 CM,3,1,T ,602.346,H ,U ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
18,EC-R098,,,,Road End Caps,,,,FALSE,NA,1000,750,,,NA,,1,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
1,AR-5381,,,,Adjustable Race,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
583,BK-R79Y-48,2,LB ,CM ,Road-350-W Yellow 48,Carretera: 350 para mujer amarilla 48,Vélo de route 350 -W - jaune 48,1082.51,TRUE,Yellow,100,75,1700.99,48,48-52 CM,16.42,4,R ,1020.594,M ,W ,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
106,LJ-3416,,,,Thin-Jam Lock Nut 16,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
35,GT-0820,,,,LL Grip Tape,,,,FALSE,NA,800,600,,,NA,,0,,,L ,,,,,,,,,,,,1998-06-01T00:00:00.000+0000,,Current
555,FB-9873,6,G  ,,Front Brakes,Frenos delanteros,Freins avant,47.286,TRUE,Silver,500,375,106.5,,NA,317,1,,63.9,,,,,,,,,,,,,2003-07-01T00:00:00.000+0000,,Current
